BRANCH_CODE,CREDIT_CARD_NO,CUST_SSN,DAY,MONTH,TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_VALUE,YEAR,TIMEID

114,4210653349028689,123459988,14,2,1,Education,78.9,2018,20180214

35,4210653349028689,123459988,20,3,2,Entertainment,14.24,2018,20180320

160,4210653349028689,123459988,8,7,3,Grocery,56.7,2018,20180708

114,4210653349028689,123459988,19,4,4,Entertainment,59.73,2018,20180419

93,4210653349028689,123459988,10,10,5,Gas,3.59,2018,20181010

164,4210653349028689,123459988,28,5,6,Education,6.89,2018,20180528

119,4210653349028689,123459988,19,5,7,Entertainment,43.39,2018,20180519

23,4210653349028689,123459988,8,8,8,Gas,95.39,2018,20180808

166,4210653349028689,123459988,18,3,9,Entertainment,93.26,2018,20180318

83,4210653349028689,123459988,3,9,10,Bills,100.38,2018,20180903

52,4210653349028689,123459988,21,8,11,Gas,98.75,2018,20180821

17,4210653349028689,123459988,24,12,12,Gas,42.71,2018,20181224

80,4210653349028689,123459988,3,4,13,Grocery,40.24,2018,20180403

50,4210653349028689,123459988,15,4,14,Bills,17.81,2018,20180415

123,4210653349028689,123459988,17,5,15,Bills,29.0,2018,20180517

9,4210653349028689,123459988,6,7,16,Test,70.63,2018,20180706

3,4210653349028689,123459988,28,9,17,Test,27.04,2018,20180928

135,4210653349028689,123459988,4,7,18,Entertainment,88.75,2018,20180704

103,4210653349028689,123459988,24,4,19,Test,77.02,2018,20180424

78,4210653349028689,123459988,8,10,20,Bills,34.34,2018,20181008

156,4210653349028689,123459988,23,10,21,Education,10.56,2018,20181023

20,4210653349028689,123459988,13,8,22,Education,6.7,2018,20180813

44,4210653349028689,123459988,17,3,23,Bills,7.97,2018,20180317

54,4210653349028689,123459988,11,5,24,Test,32.81,2018,20180511

119,4210653349028689,123459988,3,3,25,Entertainment,35.02,2018,20180303

121,4210653349028689,123459988,11,5,26,Test,86.3,2018,20180511

19,4210653349028689,123459988,14,12,27,Test,82.05,2018,20181214

43,4210653349028689,123459988,6,8,28,Healthcare,98.78,2018,20180806

7,4210653349028689,123459988,14,10,29,Grocery,9.49,2018,20181014

29,4210653349028689,123459988,4,12,30,Gas,17.03,2018,20181204

123,4210653349028689,123459988,24,10,31,Grocery,54.49,2018,20181024

66,4210653349028689,123459988,12,12,32,Education,13.34,2018,20181212

117,4210653349028689,123459988,20,10,33,Healthcare,24.37,2018,20181020

72,4210653349028689,123459988,9,11,34,Entertainment,53.03,2018,20181109

95,4210653349028689,123459988,9,9,35,Test,96.55,2018,20180909

32,4210653349028689,123459988,28,9,36,Education,62.82,2018,20180928

104,4210653349028689,123459988,12,4,37,Education,73.99,2018,20180412

158,4210653349028689,123459988,6,9,38,Education,63.08,2018,20180906

70,4210653349028689,123459988,5,10,39,Entertainment,46.84,2018,20181005

69,4210653349028689,123459988,16,1,40,Entertainment,96.29,2018,20180116

26,4210653349028689,123459988,7,3,41,Education,25.01,2018,20180307

27,4210653349028689,123459988,20,11,42,Bills,30.95,2018,20181120

79,4210653349028689,123459988,4,6,43,Gas,83.33,2018,20180604

36,4210653349028689,123459988,13,11,44,Healthcare,79.91,2018,20181113

124,4210653349028689,123459988,8,9,45,Healthcare,20.81,2018,20180908

104,4210653349028689,123459988,21,1,46,Bills,4.95,2018,20180121

50,4210653349028689,123459988,28,4,47,Grocery,41.62,2018,20180428

20,4210653349028689,123459988,12,5,48,Education,3.79,2018,20180512

69,4210653349028689,123459988,26,8,49,Healthcare,26.34,2018,20180826

76,4210653349028689,123459988,2,1,50,Entertainment,53.49,2018,20180102

93,4210653349028689,123459988,4,3,51,Gas,73.45,2018,20180304

80,4210653349028689,123459988,9,12,52,Entertainment,15.89,2018,20181209

43,4210653349028689,123459988,14,4,53,Grocery,16.99,2018,20180414

59,4210653349028689,123459988,3,2,54,Healthcare,31.87,2018,20180203

158,4210653349028689,123459988,21,12,55,Healthcare,30.58,2018,20181221

27,4210653349028689,123459988,11,1,56,Grocery,4.19,2018,20180111

126,4210653349028689,123459988,27,11,57,Bills,1.32,2018,20181127

59,4210653349028689,123459988,9,8,58,Bills,13.72,2018,20180809

156,4210653349028689,123459988,16,3,59,Healthcare,45.55,2018,20180316

74,4210653349028689,123459988,24,6,60,Entertainment,72.17,2018,20180624

70,4210653349028689,123459988,22,9,61,Gas,84.13,2018,20180922

123,4210653349028689,123459988,20,3,62,Test,51.91,2018,20180320

121,4210653349028689,123459988,22,12,63,Education,43.08,2018,20181222

60,4210653349028689,123459988,18,9,64,Healthcare,89.81,2018,20180918

31,4210653349028689,123459988,25,1,65,Grocery,56.84,2018,20180125

63,4210653349028689,123459988,11,8,66,Education,82.11,2018,20180811

63,4210653349028689,123459988,25,10,67,Gas,35.29,2018,20181025

27,4210653349028689,123459988,15,2,68,Entertainment,46.53,2018,20180215

31,4210653349028689,123459988,7,6,69,Test,93.2,2018,20180607

139,4210653349028689,123459988,27,4,70,Grocery,61.4,2018,20180427

9,4210653349028689,123459988,12,6,71,Bills,87.58,2018,20180612

48,4210653349028689,123459988,17,7,72,Education,8.08,2018,20180717

145,4210653349028689,123459988,7,3,73,Entertainment,92.84,2018,20180307

144,4210653349028689,123459988,27,3,74,Bills,45.93,2018,20180327

42,4210653349028689,123459988,18,12,75,Gas,38.07,2018,20181218

49,4210653349028689,123459988,16,3,76,Gas,51.93,2018,20180316

1,4210653349028689,123459988,28,11,77,Bills,53.03,2018,20181128

73,4210653349028689,123459988,14,4,78,Education,31.89,2018,20180414

53,4210653349028689,123459988,13,6,79,Gas,66.48,2018,20180613

43,4210653349028689,123459988,25,10,80,Education,92.47,2018,20181025

99,4210653349028689,123459988,15,3,81,Entertainment,81.4,2018,20180315

89,4210653349028689,123459988,24,2,82,Healthcare,97.98,2018,20180224

17,4210653349028689,123459988,4,3,83,Bills,55.4,2018,20180304

79,4210653349028689,123459988,25,9,84,Bills,70.25,2018,20180925

32,4210653349028689,123459988,11,11,85,Healthcare,60.9,2018,20181111

109,4210653349028689,123459988,5,11,86,Bills,7.62,2018,20181105

175,4210653349028689,123459988,6,2,87,Test,12.43,2018,20180206

175,4210653349028689,123459988,25,8,88,Test,17.12,2018,20180825

118,4210653349028689,123459988,12,7,89,Grocery,57.52,2018,20180712

11,4210653349028689,123459988,2,2,90,Education,91.2,2018,20180202

59,4210653349028689,123459988,1,9,91,Entertainment,97.64,2018,20180901

66,4210653349028689,123459988,3,8,92,Education,58.25,2018,20180803

99,4210653349028689,123459988,2,7,93,Gas,41.06,2018,20180702

50,4210653349028689,123459988,9,7,94,Bills,72.72,2018,20180709

117,4210653399308769,123459978,8,7,95,Entertainment,77.17,2018,20180708

121,4210653399308769,123459978,21,10,96,Gas,49.14,2018,20181021

117,4210653399308769,123459978,13,7,97,Entertainment,81.6,2018,20180713

9,4210653399308769,123459978,6,12,98,Entertainment,22.75,2018,20181206

59,4210653399308769,123459978,1,3,99,Grocery,56.52,2018,20180301

117,4210653399308769,123459978,17,8,100,Education,24.05,2018,20180817

57,4210653399308769,123459978,20,8,101,Healthcare,66.05,2018,20180820

192,4210653399308769,123459978,3,9,102,Education,42.37,2018,20180903

11,4210653399308769,123459978,13,1,103,Grocery,96.44,2018,20180113

75,4210653399308769,123459978,4,9,104,Healthcare,74.83,2018,20180904

103,4210653399308769,123459978,5,11,105,Entertainment,25.97,2018,20181105

31,4210653399308769,123459978,25,8,106,Education,72.36,2018,20180825

25,4210653399308769,123459978,2,8,107,Test,98.85,2018,20180802

10,4210653399308769,123459978,7,7,108,Grocery,4.36,2018,20180707

107,4210653399308769,123459978,13,5,109,Test,66.6,2018,20180513

24,4210653399308769,123459978,21,3,110,Education,1.76,2018,20180321

57,4210653399308769,123459978,7,5,111,Grocery,44.41,2018,20180507

44,4210653399308769,123459978,6,3,112,Gas,85.53,2018,20180306

80,4210653399308769,123459978,13,11,113,Healthcare,89.9,2018,20181113

81,4210653399308769,123459978,4,10,114,Healthcare,53.75,2018,20181004

91,4210653399308769,123459978,13,2,115,Test,30.87,2018,20180213

79,4210653399308769,123459978,10,2,116,Healthcare,86.53,2018,20180210

81,4210653399308769,123459978,13,8,117,Healthcare,72.06,2018,20180813

166,4210653399308769,123459978,16,12,118,Bills,21.96,2018,20181216

19,4210653399308769,123459978,4,12,119,Entertainment,49.98,2018,20181204

175,4210653399308769,123459978,27,9,120,Education,13.91,2018,20180927

173,4210653399308769,123459978,16,11,121,Test,9.05,2018,20181116

100,4210653399308769,123459978,21,1,122,Grocery,40.33,2018,20180121

17,4210653399308769,123459978,2,9,123,Test,14.72,2018,20180902

178,4210653399308769,123459978,14,9,124,Gas,95.3,2018,20180914

63,4210653399308769,123459978,20,6,125,Entertainment,22.65,2018,20180620

156,4210653399308769,123459978,11,2,126,Entertainment,100.28,2018,20180211

44,4210653399308769,123459978,26,10,127,Gas,54.19,2018,20181026

42,4210653399308769,123459978,7,12,128,Grocery,100.57,2018,20181207

175,4210653399308769,123459978,1,10,129,Gas,10.84,2018,20181001

58,4210653399308769,123459978,11,4,130,Entertainment,3.03,2018,20180411

114,4210653399308769,123459978,23,3,131,Test,27.58,2018,20180323

90,4210653399308769,123459978,15,9,132,Bills,37.92,2018,20180915

5,4210653399308769,123459978,5,1,133,Bills,77.05,2018,20180105

51,4210653399308769,123459978,27,2,134,Bills,26.17,2018,20180227

51,4210653399308769,123459978,25,9,135,Education,73.36,2018,20180925

18,4210653399308769,123459978,22,11,136,Gas,69.05,2018,20181122

35,4210653399308769,123459978,1,7,137,Test,27.95,2018,20180701

46,4210653399308769,123459978,3,7,138,Education,87.69,2018,20180703

11,4210653399308769,123459978,25,5,139,Grocery,74.48,2018,20180525

136,4210653399308769,123459978,8,7,140,Healthcare,98.23,2018,20180708

9,4210653399308769,123459978,17,3,141,Education,37.06,2018,20180317

131,4210653399308769,123459978,16,5,142,Healthcare,92.55,2018,20180516

115,4210653399308769,123459978,20,10,143,Gas,11.63,2018,20181020

72,4210653399308769,123459978,25,8,144,Grocery,80.8,2018,20180825

178,4210653399308769,123459978,23,1,145,Healthcare,83.47,2018,20180123

115,4210653399308769,123459978,14,11,146,Grocery,60.61,2018,20181114

48,4210653399308769,123459978,18,1,147,Gas,40.94,2018,20180118

76,4210653399308769,123459978,6,9,148,Bills,66.69,2018,20180906

164,4210653399308769,123459978,9,3,149,Entertainment,29.07,2018,20180309

72,4210653399308769,123459978,23,7,150,Gas,63.66,2018,20180723

119,4210653399308769,123459978,21,1,151,Test,65.14,2018,20180121

78,4210653315516879,123459968,11,6,152,Healthcare,63.69,2018,20180611

104,4210653315516879,123459968,14,1,153,Bills,58.51,2018,20180114

36,4210653315516879,123459968,18,10,154,Grocery,98.02,2018,20181018

139,4210653315516879,123459968,17,4,155,Bills,28.39,2018,20180417

170,4210653315516879,123459968,26,6,156,Test,90.94,2018,20180626

111,4210653315516879,123459968,6,4,157,Entertainment,70.18,2018,20180406

10,4210653315516879,123459968,8,5,158,Test,71.32,2018,20180508

79,4210653315516879,123459968,25,4,159,Test,83.39,2018,20180425

28,4210653315516879,123459968,6,9,160,Gas,76.76,2018,20180906

24,4210653315516879,123459968,9,9,161,Test,90.79,2018,20180909

11,4210653315516879,123459968,21,4,162,Healthcare,3.27,2018,20180421

78,4210653315516879,123459968,17,10,163,Gas,20.38,2018,20181017

119,4210653315516879,123459968,2,8,164,Grocery,42.15,2018,20180802

49,4210653315516879,123459968,7,11,165,Education,30.78,2018,20181107

40,4210653315516879,123459968,9,12,166,Gas,96.29,2018,20181209

99,4210653315516879,123459968,23,8,167,Test,30.16,2018,20180823

22,4210653315516879,123459968,16,6,168,Bills,9.19,2018,20180616

125,4210653349448599,123459965,11,6,169,Healthcare,59.95,2018,20180611

170,4210653349448599,123459965,11,11,170,Healthcare,30.82,2018,20181111

35,4210653349448599,123459965,5,6,171,Gas,73.5,2018,20180605

49,4210653349448599,123459965,11,4,172,Healthcare,17.32,2018,20180411

17,4210653349448599,123459965,19,6,173,Bills,13.76,2018,20180619

139,4210653349448599,123459965,9,8,174,Bills,54.41,2018,20180809

156,4210653349448599,123459965,12,4,175,Healthcare,46.4,2018,20180412

12,4210653349448599,123459965,14,4,176,Entertainment,70.89,2018,20180414

100,4210653349448599,123459965,25,5,177,Gas,65.53,2018,20180525

39,4210653349448599,123459965,7,10,178,Test,52.83,2018,20181007

59,4210653349448599,123459965,7,1,179,Test,40.3,2018,20180107

175,4210653349448599,123459965,11,9,180,Education,25.99,2018,20180911

118,4210653349448599,123459965,10,4,181,Grocery,44.57,2018,20180410

121,4210653349448599,123459965,4,5,182,Entertainment,90.23,2018,20180504

89,4210653349448599,123459965,22,5,183,Test,26.4,2018,20180522

173,4210653349448599,123459965,15,11,184,Healthcare,48.82,2018,20181115

70,4210653349448599,123459965,4,10,185,Entertainment,41.02,2018,20181004

175,4210653349448599,123459965,8,2,186,Grocery,32.04,2018,20180208

74,4210653349448599,123459965,25,11,187,Gas,81.46,2018,20181125

20,4210653349448599,123459965,13,6,188,Gas,30.59,2018,20180613

43,4210653349448599,123459965,26,9,189,Gas,97.35,2018,20180926

10,4210653349448599,123459965,12,6,190,Healthcare,77.06,2018,20180612

15,4210653349448599,123459965,6,8,191,Gas,14.85,2018,20180806

38,4210653349448599,123459965,14,9,192,Education,40.63,2018,20180914

24,4210653349448599,123459965,24,3,193,Gas,81.31,2018,20180324

52,4210653349448599,123459965,23,4,194,Bills,57.54,2018,20180423

76,4210653349448599,123459965,16,11,195,Education,33.48,2018,20181116

20,4210653349448599,123459965,14,8,196,Healthcare,29.15,2018,20180814

107,4210653349448599,123459965,9,8,197,Gas,41.36,2018,20180809

188,4210653349448599,123459965,2,8,198,Test,63.1,2018,20180802

100,4210653349448599,123459965,15,1,199,Grocery,29.44,2018,20180115

158,4210653349448599,123459965,6,1,200,Gas,31.62,2018,20180106

95,4210653349448599,123459965,26,6,201,Bills,12.03,2018,20180626

24,4210653349448599,123459965,14,12,202,Gas,75.53,2018,20181214

93,4210653349448599,123459965,26,7,203,Test,27.1,2018,20180726

45,4210653349448599,123459965,14,6,204,Bills,99.18,2018,20180614

72,4210653349448599,123459965,25,3,205,Entertainment,13.01,2018,20180325

31,4210653349448599,123459965,20,7,206,Entertainment,71.06,2018,20180720

37,4210653349448599,123459965,16,4,207,Grocery,19.86,2018,20180416

24,4210653349448599,123459965,10,12,208,Bills,15.58,2018,20181210

139,4210653349448599,123459965,1,5,209,Gas,35.02,2018,20180501

19,4210653349448599,123459965,24,10,210,Healthcare,41.56,2018,20181024

78,4210653349448599,123459965,3,4,211,Bills,77.53,2018,20180403

66,4210653349448599,123459965,27,3,212,Gas,53.82,2018,20180327

72,4210653349448599,123459965,17,4,213,Entertainment,67.7,2018,20180417

160,4210653315577947,123459940,5,6,214,Entertainment,6.72,2018,20180605

42,4210653315577947,123459940,7,1,215,Education,63.57,2018,20180107

40,4210653315577947,123459940,25,4,216,Healthcare,25.98,2018,20180425

5,4210653312528499,123459918,5,8,217,Gas,36.3,2018,20180805

158,4210653312528499,123459918,25,3,218,Bills,21.56,2018,20180325

5,4210653312528499,123459918,16,1,219,Education,27.89,2018,20180116

118,4210653312528499,123459918,9,10,220,Healthcare,64.48,2018,20181009

74,4210653312528499,123459918,8,1,221,Gas,100.76,2018,20180108

40,4210653312528499,123459918,18,2,222,Education,2.53,2018,20180218

149,4210653312528499,123459918,3,7,223,Education,10.72,2018,20180703

81,4210653312528499,123459918,8,6,224,Gas,17.85,2018,20180608

19,4210653312528499,123459918,10,9,225,Entertainment,36.95,2018,20180910

57,4210653312528499,123459918,28,6,226,Test,79.42,2018,20180628

27,4210653312528499,123459918,16,9,227,Education,21.76,2018,20180916

49,4210653312528499,123459918,19,7,228,Test,15.29,2018,20180719

76,4210653312528499,123459918,10,12,229,Education,36.66,2018,20181210

79,4210653312528499,123459918,2,10,230,Healthcare,8.63,2018,20181002

2,4210653312528499,123459918,13,5,231,Grocery,9.92,2018,20180513

135,4210653312528499,123459918,28,1,232,Healthcare,71.75,2018,20180128

158,4210653312528499,123459918,28,7,233,Bills,42.62,2018,20180728

131,4210653312528499,123459918,12,1,234,Gas,58.16,2018,20180112

103,4210653312528499,123459918,8,2,235,Gas,69.94,2018,20180208

12,4210653312528499,123459918,17,5,236,Test,16.68,2018,20180517

80,4210653312528499,123459918,22,12,237,Test,30.4,2018,20181222

45,4210653312528499,123459918,18,11,238,Entertainment,80.81,2018,20181118

1,4210653312528499,123459918,26,11,239,Education,58.78,2018,20181126

100,4210653312528499,123459918,1,8,240,Education,83.25,2018,20180801

192,4210653312528499,123459918,2,12,241,Test,97.12,2018,20181202

8,4210653312528499,123459918,15,11,242,Entertainment,45.27,2018,20181115

139,4210653312528499,123459918,8,12,243,Test,99.59,2018,20181208

79,4210653312528499,123459918,6,4,244,Education,73.66,2018,20180406

69,4210653312528499,123459918,21,12,245,Bills,6.52,2018,20181221

1,4210653312528499,123459918,4,4,246,Bills,5.49,2018,20180404

9,4210653312528499,123459918,6,6,247,Healthcare,86.57,2018,20180606

36,4210653312528499,123459918,7,7,248,Education,82.65,2018,20180707

25,4210653312528499,123459918,24,5,249,Grocery,56.21,2018,20180524

104,4210653312528499,123459918,24,10,250,Healthcare,94.14,2018,20181024

21,4210653312528499,123459918,17,2,251,Education,6.9,2018,20180217

54,4210653312528499,123459918,21,2,252,Grocery,32.28,2018,20180221

14,4210653312528499,123459918,22,8,253,Bills,61.93,2018,20180822

29,4210653312528499,123459918,19,9,254,Bills,17.76,2018,20180919

2,4210653312528499,123459918,15,1,255,Test,32.44,2018,20180115

5,4210653312528499,123459918,18,10,256,Bills,95.21,2018,20181018

19,4210653312528499,123459918,7,8,257,Bills,29.4,2018,20180807

166,4210653312528499,123459918,25,7,258,Education,83.43,2018,20180725

46,4210653312528499,123459918,14,1,259,Bills,11.4,2018,20180114

24,4210653312528499,123459918,22,12,260,Education,33.08,2018,20181222

4,4210653312528499,123459918,16,11,261,Healthcare,94.41,2018,20181116

149,4210653312528499,123459918,2,6,262,Entertainment,2.73,2018,20180602

27,4210653312528499,123459918,11,12,263,Education,71.7,2018,20181211

29,4210653312528499,123459918,24,4,264,Test,72.88,2018,20180424

60,4210653312528499,123459918,12,6,265,Healthcare,64.29,2018,20180612

149,4210653312528499,123459918,27,11,266,Grocery,51.08,2018,20181127

11,4210653312528499,123459918,28,5,267,Test,48.62,2018,20180528

67,4210653312528499,123459918,14,5,268,Bills,41.56,2018,20180514

53,4210653312528499,123459918,13,1,269,Entertainment,3.49,2018,20180113

75,4210653313003223,123459916,28,1,270,Bills,95.15,2018,20180128

67,4210653313003223,123459916,22,2,271,Education,35.23,2018,20180222

7,4210653313003223,123459916,21,9,272,Healthcare,66.16,2018,20180921

70,4210653313003223,123459916,5,6,273,Grocery,58.38,2018,20180605

57,4210653313003223,123459916,9,11,274,Healthcare,24.28,2018,20181109

89,4210653313003223,123459916,16,5,275,Bills,74.43,2018,20180516

69,4210653313003223,123459916,11,11,276,Test,30.12,2018,20181111

46,4210653313003223,123459916,17,2,277,Healthcare,78.38,2018,20180217

52,4210653313003223,123459916,3,1,278,Entertainment,72.42,2018,20180103

47,4210653313003223,123459916,10,3,279,Healthcare,53.0,2018,20180310

107,4210653313003223,123459916,6,8,280,Bills,63.95,2018,20180806

17,4210653313003223,123459916,3,11,281,Grocery,36.3,2018,20181103

125,4210653313003223,123459916,4,12,282,Grocery,67.6,2018,20181204

74,4210653313003223,123459916,19,10,283,Grocery,17.48,2018,20181019

49,4210653313003223,123459916,21,5,284,Entertainment,83.26,2018,20180521

105,4210653313003223,123459916,22,2,285,Gas,94.26,2018,20180222

28,4210653313003223,123459916,19,5,286,Test,26.24,2018,20180519

70,4210653313003223,123459916,21,4,287,Gas,25.03,2018,20180421

103,4210653313003223,123459916,6,7,288,Entertainment,85.51,2018,20180706

156,4210653313003223,123459916,14,1,289,Education,46.37,2018,20180114

74,4210653313003223,123459916,22,2,290,Entertainment,85.55,2018,20180222

36,4210653313003223,123459916,21,8,291,Bills,67.3,2018,20180821

58,4210653313003223,123459916,2,6,292,Entertainment,68.89,2018,20180602

37,4210653313003223,123459916,17,9,293,Test,78.8,2018,20180917

56,4210653313003223,123459916,27,9,294,Healthcare,66.15,2018,20180927

109,4210653313003223,123459916,16,8,295,Education,1.62,2018,20180816

123,4210653313003223,123459916,24,6,296,Healthcare,1.79,2018,20180624

2,4210653313003223,123459916,20,3,297,Gas,33.13,2018,20180320

5,4210653313003223,123459916,20,2,298,Bills,81.87,2018,20180220

125,4210653313003223,123459916,8,8,299,Healthcare,96.17,2018,20180808

103,4210653313003223,123459916,15,9,300,Gas,5.42,2018,20180915

38,4210653313003223,123459916,21,5,301,Grocery,7.66,2018,20180521

11,4210653313003223,123459916,22,3,302,Entertainment,63.16,2018,20180322

135,4210653313003223,123459916,26,11,303,Entertainment,15.77,2018,20181126

35,4210653313003223,123459916,21,6,304,Grocery,17.72,2018,20180621

149,4210653313003223,123459916,9,10,305,Education,52.03,2018,20181009

46,4210653313003223,123459916,1,7,306,Test,67.38,2018,20180701

149,4210653313003223,123459916,15,2,307,Bills,23.12,2018,20180215

